步骤,损失,准确率,步骤准确率
365,8.334578,65.35714268684387,0.6535714
366,8.845592,63.6904776096344,0.6369048
367,8.319702,65.59523940086365,0.6559524
368,8.225795,66.07142686843872,0.66071427
369,7.9295654,66.90475940704346,0.6690476
370,9.199638,63.928574323654175,0.63928574
371,8.627344,65.35714268684387,0.6535714
372,8.223876,66.19047522544861,0.66190475
373,8.874145,63.09523582458496,0.63095236
374,7.89954,66.07142686843872,0.66071427
375,8.42881,63.57142925262451,0.6357143
376,8.485102,64.99999761581421,0.65
377,7.9267883,66.07142686843872,0.66071427
378,8.395375,65.59523940086365,0.6559524
379,7.7953753,67.14285612106323,0.67142856
380,7.218365,70.83333134651184,0.7083333
381,7.884079,67.02380776405334,0.6702381
382,7.8487577,64.40476179122925,0.6440476
383,7.8959265,67.38095283508301,0.6738095
384,8.355783,65.71428775787354,0.6571429
385,7.655871,68.45238208770752,0.6845238
386,8.902033,63.928574323654175,0.63928574
387,8.420961,65.59523940086365,0.6559524
388,7.706791,67.61904954910278,0.6761905
389,7.6593604,69.16666626930237,0.69166666
390,8.733584,64.52381014823914,0.6452381
391,7.850295,67.97618865966797,0.6797619
392,8.158823,66.19047522544861,0.66190475
393,7.8203764,67.61904954910278,0.6761905
394,8.084159,66.42857193946838,0.6642857
395,8.238269,64.64285850524902,0.6464286
396,8.5742235,65.59523940086365,0.6559524
397,7.841674,66.19047522544861,0.66190475
398,8.297708,67.97618865966797,0.6797619
399,8.074996,66.07142686843872,0.66071427
400,7.6203375,68.33333373069763,0.68333334
401,7.905157,63.80952596664429,0.63809526
402,7.880251,67.38095283508301,0.6738095
403,7.129961,69.16666626930237,0.69166666
404,7.7043605,67.85714030265808,0.6785714
405,7.966735,67.26190447807312,0.67261904
406,7.9910445,69.9999988079071,0.7
407,6.7024283,70.47619223594666,0.7047619
